Município;Total;UF;Data
PAULO AFONSO;73;BA;13/03/2021
PE DE SERRA;3;BA;13/03/2021
PEDRAO;1;BA;13/03/2021
PEDRO ALEXANDRE;5;BA;13/03/2021
PIATA;2;BA;13/03/2021
PILAO ARCADO;1;BA;13/03/2021
PINDAI;4;BA;13/03/2021
PINDOBACU;3;BA;13/03/2021
PINTADAS;1;BA;13/03/2021
PIRITIBA;2;BA;13/03/2021
PLANALTO;6;BA;13/03/2021
POCOES;13;BA;13/03/2021
POJUCA;59;BA;13/03/2021
PONTO NOVO;3;BA;13/03/2021
PORTO SEGURO;51;BA;13/03/2021
POTIRAGUA;3;BA;13/03/2021
PRADO;5;BA;13/03/2021
PRESIDENTE JANIO QUADROS;1;BA;13/03/2021
PRESIDENTE TANCREDO NEVES;21;BA;13/03/2021
QUEIMADAS;2;BA;13/03/2021
QUIJINGUE;1;BA;13/03/2021
REMANSO;7;BA;13/03/2021
RIACHAO DAS NEVES;8;BA;13/03/2021
RIACHAO DO JACUIPE;4;BA;13/03/2021
RIACHO DE SANTANA;3;BA;13/03/2021
RIBEIRA DO POMBAL;3;BA;13/03/2021
RIBEIRAO DO LARGO;1;BA;13/03/2021
RIO DE CONTAS;2;BA;13/03/2021
RIO DO ANTONIO;1;BA;13/03/2021
RIO DO PIRES;2;BA;13/03/2021
RIO REAL;7;BA;13/03/2021
RODELAS;2;BA;13/03/2021
RUY BARBOSA;6;BA;13/03/2021
SALINAS DA MARGARIDA;8;BA;13/03/2021
SALVADOR;2812;BA;13/03/2021
SANTA BARBARA;5;BA;13/03/2021
SANTA BRIGIDA;1;BA;13/03/2021
SANTA CRUZ CABRALIA;11;BA;13/03/2021
SANTA CRUZ DA VITORIA;1;BA;13/03/2021
SANTA INES;4;BA;13/03/2021
SANTA MARIA DA VITORIA;10;BA;13/03/2021
SANTA RITA DE CASSIA;4;BA;13/03/2021
SANTA TERESINHA;5;BA;13/03/2021
SANTALUZ;12;BA;13/03/2021
SANTANA;3;BA;13/03/2021
SANTANOPOLIS;1;BA;13/03/2021
SANTO AMARO;16;BA;13/03/2021
SANTO ANTONIO DE JESUS;24;BA;13/03/2021
SANTO ESTEVAO;16;BA;13/03/2021
SAO DESIDERIO;12;BA;13/03/2021
SAO DOMINGOS;1;BA;13/03/2021
SAO FELIPE;4;BA;13/03/2021
SAO FELIX;3;BA;13/03/2021
SAO FELIX DO CORIBE;1;BA;13/03/2021
SAO FRANCISCO DO CONDE;44;BA;13/03/2021
SAO GONCALO DOS CAMPOS;8;BA;13/03/2021
SAO JOSE DA VITORIA;1;BA;13/03/2021
SAO MIGUEL DAS MATAS;3;BA;13/03/2021
SAO SEBASTIAO DO PASSE;26;BA;13/03/2021
SAPEACU;1;BA;13/03/2021
SATIRO DIAS;2;BA;13/03/2021
SAUBARA;4;BA;13/03/2021
SAUDE;2;BA;13/03/2021
SEABRA;9;BA;13/03/2021
SENHOR DO BONFIM;28;BA;13/03/2021
SENTO SE;10;BA;13/03/2021
SERRA DO RAMALHO;9;BA;13/03/2021
