Município;Total;UF;Data
UBAIRA;13;BA;02/03/2020
UBAITABA;33;BA;02/03/2020
UBATA;10;BA;02/03/2020
UIBAI;14;BA;02/03/2020
UMBURANAS;3;BA;02/03/2020
UNA;12;BA;02/03/2020
URANDI;10;BA;02/03/2020
URUCUCA;13;BA;02/03/2020
UTINGA;2;BA;02/03/2020
VALENCA;121;BA;02/03/2020
VALENTE;34;BA;02/03/2020
VARZEA DA ROCA;4;BA;02/03/2020
VARZEA DO POCO;7;BA;02/03/2020
VARZEA NOVA;5;BA;02/03/2020
VARZEDO;4;BA;02/03/2020
VERA CRUZ;63;BA;02/03/2020
VITORIA DA CONQUISTA;683;BA;02/03/2020
WAGNER;4;BA;02/03/2020
WANDERLEY;11;BA;02/03/2020
WENCESLAU GUIMARAES;3;BA;02/03/2020
XIQUE-XIQUE;44;BA;02/03/2020
